Week,Date,Topic,Readings,Notes,Lecture,Slides,Worksheets,Handouts
Week 1,44959,,/description/01,/notes/01,/canvas/01,/slides/01,/worksheets/01,/handouts/01
Week 2,44966,,/description/02,/notes/02,/canvas/02,/slides/02,/worksheets/02,/handouts/02
Week 3,44973,,/description/03,/notes/03,/canvas/03,/slides/03,/worksheets/03,/handouts/03
Week 4,44980,,/description/04,/notes/04,/canvas/04,/slides/04,/worksheets/04,/handouts/04
Week 5,44987,,/description/05,/notes/05,/canvas/05,/slides/05,/worksheets/05,/handouts/05
Week 6,44994,,/description/06,/notes/06,/canvas/06,/slides/06,/worksheets/06,/handouts/06
Week 7,45001,,/description/07,/notes/07,/canvas/07,/slides/07,/worksheets/07,/handouts/07
Week 8,45008,,/description/08,/notes/08,/canvas/08,/slides/08,/worksheets/08,/handouts/08
Week 9,45043,,/description/09,/notes/09,/canvas/09,/slides/09,/worksheets/09,/handouts/09
Week 10,45050,,/description/10,/notes/10,/canvas/10,/slides/10,/worksheets/10,/handouts/10
